interaction_id,DRUG_NAME,TARGET_NAME,TARGET_CLASS,ACTION_TYPE,interaction_text
26,azacitidine,dna (cytosine-5)-methyltransferase 3a,enzyme,INHIBITOR,Drug: azacitidine | Target: dna (cytosine-5)-methyltransferase 3a | Type: enzyme | Action: INHIBITOR
27,fluorouracil,thymidylate synthase,enzyme,INHIBITOR,Drug: fluorouracil | Target: thymidylate synthase | Type: enzyme | Action: INHIBITOR
28,fluorouracil,multidrug resistance-associated protein 5,transporter,,Drug: fluorouracil | Target: multidrug resistance-associated protein 5 | Type: transporter | Action: nan
29,fluorouracil,atp-binding cassette sub-family c member 11,transporter,,Drug: fluorouracil | Target: atp-binding cassette sub-family c member 11 | Type: transporter | Action: nan
30,fluorouracil,thymidylate synthase,enzyme,,Drug: fluorouracil | Target: thymidylate synthase | Type: enzyme | Action: nan
31,fluorouracil,uracil phosphoribosyltransferase,enzyme,,Drug: fluorouracil | Target: uracil phosphoribosyltransferase | Type: enzyme | Action: nan
32,azaribine,orotidine 5'-phosphate decarboxylase,enzyme,,Drug: azaribine | Target: orotidine 5'-phosphate decarboxylase | Type: enzyme | Action: nan
33,azaribine,orotidine 5'-phosphate decarboxylase,enzyme,,Drug: azaribine | Target: orotidine 5'-phosphate decarboxylase | Type: enzyme | Action: nan
34,methoxsalen,acetylcholinesterase,enzyme,,Drug: methoxsalen | Target: acetylcholinesterase | Type: enzyme | Action: nan
35,methoxsalen,cytochrome p450 1a2,enzyme,,Drug: methoxsalen | Target: cytochrome p450 1a2 | Type: enzyme | Action: nan
36,methoxsalen,amine oxidase [flavin-containing] a,enzyme,,Drug: methoxsalen | Target: amine oxidase [flavin-containing] a | Type: enzyme | Action: nan
37,methoxsalen,polyphenol oxidase 2,enzyme,,Drug: methoxsalen | Target: polyphenol oxidase 2 | Type: enzyme | Action: nan
39,abacavir,gag-pol polyprotein,polyprotein,,Drug: abacavir | Target: gag-pol polyprotein | Type: polyprotein | Action: nan
40,abacavir,reverse transcriptase/rnaseh,enzyme,INHIBITOR,Drug: abacavir | Target: reverse transcriptase/rnaseh | Type: enzyme | Action: INHIBITOR
41,abacavir,reverse transcriptase,enzyme,,Drug: abacavir | Target: reverse transcriptase | Type: enzyme | Action: nan
42,abarelix,gonadotropin-releasing hormone receptor,gpcr,ANTAGONIST,Drug: abarelix | Target: gonadotropin-releasing hormone receptor | Type: gpcr | Action: ANTAGONIST
43,acamprosate,gaba-a receptor alpha-1/beta-3/gamma-2,ion channel,POSITIVE MODULATOR,Drug: acamprosate | Target: gaba-a receptor alpha-1/beta-3/gamma-2 | Type: ion channel | Action: POSITIVE MODULATOR
44,acamprosate,glutamate [nmda] receptor,ion channel,ANTAGONIST,Drug: acamprosate | Target: glutamate [nmda] receptor | Type: ion channel | Action: ANTAGONIST
45,acarbose,"maltase-glucoamylase, intestinal",enzyme,INHIBITOR,"Drug: acarbose | Target: maltase-glucoamylase, intestinal | Type: enzyme | Action: INHIBITOR"
46,acarbose,pancreatic alpha-amylase,enzyme,INHIBITOR,Drug: acarbose | Target: pancreatic alpha-amylase | Type: enzyme | Action: INHIBITOR
47,acarbose,alpha-amylase 1,enzyme,,Drug: acarbose | Target: alpha-amylase 1 | Type: enzyme | Action: nan
48,acarbose,lysosomal alpha-glucosidase,enzyme,,Drug: acarbose | Target: lysosomal alpha-glucosidase | Type: enzyme | Action: nan
49,acarbose,"sucrase-isomaltase, intestinal",enzyme,,"Drug: acarbose | Target: sucrase-isomaltase, intestinal | Type: enzyme | Action: nan"
50,acarbose,lysosomal alpha-glucosidase,enzyme,,Drug: acarbose | Target: lysosomal alpha-glucosidase | Type: enzyme | Action: nan
51,acarbose,alpha-amylase,enzyme,,Drug: acarbose | Target: alpha-amylase | Type: enzyme | Action: nan
52,acarbose,"oligo-1,6-glucosidase",enzyme,,"Drug: acarbose | Target: oligo-1,6-glucosidase | Type: enzyme | Action: nan"
53,acarbose,pancreatic alpha-amylase,enzyme,,Drug: acarbose | Target: pancreatic alpha-amylase | Type: enzyme | Action: nan
54,acarbose,"sucrase-isomaltase, intestinal",enzyme,,"Drug: acarbose | Target: sucrase-isomaltase, intestinal | Type: enzyme | Action: nan"
55,acebutolol,beta-1 adrenergic receptor,gpcr,ANTAGONIST,Drug: acebutolol | Target: beta-1 adrenergic receptor | Type: gpcr | Action: ANTAGONIST
56,acebutolol,beta-2 adrenergic receptor,gpcr,,Drug: acebutolol | Target: beta-2 adrenergic receptor | Type: gpcr | Action: nan
57,acebutolol,5-hydroxytryptamine receptor 1a,gpcr,,Drug: acebutolol | Target: 5-hydroxytryptamine receptor 1a | Type: gpcr | Action: nan
58,aceclofenac,transthyretin,secreted,,Drug: aceclofenac | Target: transthyretin | Type: secreted | Action: nan
59,aceclofenac,aldose reductase,enzyme,,Drug: aceclofenac | Target: aldose reductase | Type: enzyme | Action: nan
60,aceclofenac,mitogen-activated protein kinase 1,kinase,,Drug: aceclofenac | Target: mitogen-activated protein kinase 1 | Type: kinase | Action: nan
61,aceclofenac,prostaglandin g/h synthase 2,enzyme,INHIBITOR,Drug: aceclofenac | Target: prostaglandin g/h synthase 2 | Type: enzyme | Action: INHIBITOR
62,acediasulfone,aldose reductase,enzyme,,Drug: acediasulfone | Target: aldose reductase | Type: enzyme | Action: nan
63,acediasulfone,"dihydropteroate synthetase, putative",unclassified,,"Drug: acediasulfone | Target: dihydropteroate synthetase, putative | Type: unclassified | Action: nan"
64,acediasulfone,"6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase",unclassified,,"Drug: acediasulfone | Target: 6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase | Type: unclassified | Action: nan"
65,acemetacin,prostaglandin g/h synthase 2,enzyme,INHIBITOR,Drug: acemetacin | Target: prostaglandin g/h synthase 2 | Type: enzyme | Action: INHIBITOR
66,acemetacin,prostaglandin g/h synthase 1,enzyme,INHIBITOR,Drug: acemetacin | Target: prostaglandin g/h synthase 1 | Type: enzyme | Action: INHIBITOR
67,acemetacin,lactoylglutathione lyase,enzyme,,Drug: acemetacin | Target: lactoylglutathione lyase | Type: enzyme | Action: nan
68,acenocoumarol,vitamin k epoxide reductase complex subunit 1,unclassified,INHIBITOR,Drug: acenocoumarol | Target: vitamin k epoxide reductase complex subunit 1 | Type: unclassified | Action: INHIBITOR
69,acenocoumarol,vitamin k epoxide reductase complex subunit 1,enzyme,INHIBITOR,Drug: acenocoumarol | Target: vitamin k epoxide reductase complex subunit 1 | Type: enzyme | Action: INHIBITOR
70,acefylline,adenosine receptor a2b,gpcr,,Drug: acefylline | Target: adenosine receptor a2b | Type: gpcr | Action: nan
71,aceprometazine,histamine h1 receptor,gpcr,ANTAGONIST,Drug: aceprometazine | Target: histamine h1 receptor | Type: gpcr | Action: ANTAGONIST
72,paracetamol,prostaglandin g/h synthase 2,enzyme,INHIBITOR,Drug: paracetamol | Target: prostaglandin g/h synthase 2 | Type: enzyme | Action: INHIBITOR
73,paracetamol,transient receptor potential cation channel subfamily v member 1,ion channel,OPENER,Drug: paracetamol | Target: transient receptor potential cation channel subfamily v member 1 | Type: ion channel | Action: OPENER
74,paracetamol,nuclear receptor subfamily 1 group i member 3,nuclear hormone receptor,,Drug: paracetamol | Target: nuclear receptor subfamily 1 group i member 3 | Type: nuclear hormone receptor | Action: nan
75,paracetamol,carbonic anhydrase 2,enzyme,,Drug: paracetamol | Target: carbonic anhydrase 2 | Type: enzyme | Action: nan
76,paracetamol,carbonic anhydrase 1,enzyme,,Drug: paracetamol | Target: carbonic anhydrase 1 | Type: enzyme | Action: nan
77,paracetamol,carbonic anhydrase 4,enzyme,,Drug: paracetamol | Target: carbonic anhydrase 4 | Type: enzyme | Action: nan
78,paracetamol,carbonic anhydrase 9,enzyme,,Drug: paracetamol | Target: carbonic anhydrase 9 | Type: enzyme | Action: nan
79,paracetamol,carbonic anhydrase 12,enzyme,,Drug: paracetamol | Target: carbonic anhydrase 12 | Type: enzyme | Action: nan
80,paracetamol,carbonic anhydrase 7,enzyme,,Drug: paracetamol | Target: carbonic anhydrase 7 | Type: enzyme | Action: nan
81,paracetamol,carbonic anhydrase 3,enzyme,,Drug: paracetamol | Target: carbonic anhydrase 3 | Type: enzyme | Action: nan
82,paracetamol,carbonic anhydrase 14,enzyme,,Drug: paracetamol | Target: carbonic anhydrase 14 | Type: enzyme | Action: nan
83,paracetamol,arachidonate 5-lipoxygenase-activating protein,cytosolic other,,Drug: paracetamol | Target: arachidonate 5-lipoxygenase-activating protein | Type: cytosolic other | Action: nan
84,paracetamol,arachidonate 15-lipoxygenase,enzyme,,Drug: paracetamol | Target: arachidonate 15-lipoxygenase | Type: enzyme | Action: nan
85,paracetamol,carbonic anhydrase 13,enzyme,,Drug: paracetamol | Target: carbonic anhydrase 13 | Type: enzyme | Action: nan
86,paracetamol,carbonic anhydrase 15,enzyme,,Drug: paracetamol | Target: carbonic anhydrase 15 | Type: enzyme | Action: nan
87,paracetamol,myoglobin,unclassified,,Drug: paracetamol | Target: myoglobin | Type: unclassified | Action: nan
88,paracetamol,cannabinoid receptor 1,gpcr,AGONIST,Drug: paracetamol | Target: cannabinoid receptor 1 | Type: gpcr | Action: AGONIST
89,acetanilide,nicotinate phosphoribosyltransferase,enzyme,,Drug: acetanilide | Target: nicotinate phosphoribosyltransferase | Type: enzyme | Action: nan
90,acetazolamide,"carbonic anhydrase 2, isoform a; ld26647p",enzyme,,"Drug: acetazolamide | Target: carbonic anhydrase 2, isoform a; ld26647p | Type: enzyme | Action: nan"
91,acetazolamide,carbonic anhydrase 1; gh09688p,enzyme,,Drug: acetazolamide | Target: carbonic anhydrase 1; gh09688p | Type: enzyme | Action: nan
92,acetazolamide,carbonic anhydrase 2,enzyme,INHIBITOR,Drug: acetazolamide | Target: carbonic anhydrase 2 | Type: enzyme | Action: INHIBITOR
93,acetazolamide,carbonic anhydrase 1,enzyme,INHIBITOR,Drug: acetazolamide | Target: carbonic anhydrase 1 | Type: enzyme | Action: INHIBITOR
94,acetazolamide,carbonic anhydrase 4,enzyme,INHIBITOR,Drug: acetazolamide | Target: carbonic anhydrase 4 | Type: enzyme | Action: INHIBITOR
95,acetazolamide,carbonic anhydrase 9,enzyme,,Drug: acetazolamide | Target: carbonic anhydrase 9 | Type: enzyme | Action: nan
96,acetazolamide,carbonic anhydrase 12,enzyme,INHIBITOR,Drug: acetazolamide | Target: carbonic anhydrase 12 | Type: enzyme | Action: INHIBITOR
97,acetazolamide,aquaporin-1,transporter,,Drug: acetazolamide | Target: aquaporin-1 | Type: transporter | Action: nan
98,acetazolamide,"carbonic anhydrase 5a, mitochondrial",enzyme,,"Drug: acetazolamide | Target: carbonic anhydrase 5a, mitochondrial | Type: enzyme | Action: nan"
99,acetazolamide,"carbonic anhydrase 5b, mitochondrial",enzyme,,"Drug: acetazolamide | Target: carbonic anhydrase 5b, mitochondrial | Type: enzyme | Action: nan"
100,acetazolamide,carbonic anhydrase 7,enzyme,,Drug: acetazolamide | Target: carbonic anhydrase 7 | Type: enzyme | Action: nan
101,acetazolamide,carbonic anhydrase,enzyme,,Drug: acetazolamide | Target: carbonic anhydrase | Type: enzyme | Action: nan
102,acetazolamide,carbonic anhydrase 3,enzyme,,Drug: acetazolamide | Target: carbonic anhydrase 3 | Type: enzyme | Action: nan
103,acetazolamide,carbonic anhydrase 6,enzyme,,Drug: acetazolamide | Target: carbonic anhydrase 6 | Type: enzyme | Action: nan
104,acetazolamide,carbonic anhydrase 14,enzyme,,Drug: acetazolamide | Target: carbonic anhydrase 14 | Type: enzyme | Action: nan
105,acetazolamide,carbonic anhydrase 13,enzyme,,Drug: acetazolamide | Target: carbonic anhydrase 13 | Type: enzyme | Action: nan
106,acetazolamide,carbonic anhydrase 4,enzyme,,Drug: acetazolamide | Target: carbonic anhydrase 4 | Type: enzyme | Action: nan
107,acetazolamide,carbonic anhydrase 7,enzyme,,Drug: acetazolamide | Target: carbonic anhydrase 7 | Type: enzyme | Action: nan
108,acetazolamide,carbonic anhydrase,enzyme,,Drug: acetazolamide | Target: carbonic anhydrase | Type: enzyme | Action: nan
109,acetazolamide,carbonic anhydrase,enzyme,,Drug: acetazolamide | Target: carbonic anhydrase | Type: enzyme | Action: nan
110,acetazolamide,carbonic anhydrase 13,enzyme,,Drug: acetazolamide | Target: carbonic anhydrase 13 | Type: enzyme | Action: nan
111,acetazolamide,carbonic anhydrase 15,enzyme,,Drug: acetazolamide | Target: carbonic anhydrase 15 | Type: enzyme | Action: nan
112,acetazolamide,carbonic anhydrase,enzyme,,Drug: acetazolamide | Target: carbonic anhydrase | Type: enzyme | Action: nan
113,acetazolamide,carbonic anhydrase,enzyme,,Drug: acetazolamide | Target: carbonic anhydrase | Type: enzyme | Action: nan
114,acetazolamide,probable transmembrane carbonic anhydrase (carbonate dehydratase) (carbonic dehydratase); transmembrane carbonic anhydrase,enzyme,,Drug: acetazolamide | Target: probable transmembrane carbonic anhydrase (carbonate dehydratase) (carbonic dehydratase); transmembrane carbonic anhydrase | Type: enzyme | Action: nan
115,acetazolamide,carbonic anhydrase,enzyme,,Drug: acetazolamide | Target: carbonic anhydrase | Type: enzyme | Action: nan
116,acetazolamide,alpha carbonic anhydrase,enzyme,,Drug: acetazolamide | Target: alpha carbonic anhydrase | Type: enzyme | Action: nan
117,acetazolamide,endochitinase,enzyme,,Drug: acetazolamide | Target: endochitinase | Type: enzyme | Action: nan
118,acetazolamide,carbonic anhydrase,enzyme,,Drug: acetazolamide | Target: carbonic anhydrase | Type: enzyme | Action: nan
119,acetazolamide,carbonic anhydrase 2,enzyme,,Drug: acetazolamide | Target: carbonic anhydrase 2 | Type: enzyme | Action: nan
120,acetazolamide,carbonic anhydrase,enzyme,,Drug: acetazolamide | Target: carbonic anhydrase | Type: enzyme | Action: nan
121,acetazolamide,astrosclerin-3,enzyme,,Drug: acetazolamide | Target: astrosclerin-3 | Type: enzyme | Action: nan
122,acetazolamide,beta-carbonic anhydrase 1,enzyme,,Drug: acetazolamide | Target: beta-carbonic anhydrase 1 | Type: enzyme | Action: nan
123,acetazolamide,delta carbonic anhydrase,unclassified,,Drug: acetazolamide | Target: delta carbonic anhydrase | Type: unclassified | Action: nan
124,acetazolamide,carbonic anhydrase 2,enzyme,,Drug: acetazolamide | Target: carbonic anhydrase 2 | Type: enzyme | Action: nan
125,acetazolamide,carbonic anhydrase 2,enzyme,,Drug: acetazolamide | Target: carbonic anhydrase 2 | Type: enzyme | Action: nan
126,acetazolamide,carbonic anhydrase,enzyme,,Drug: acetazolamide | Target: carbonic anhydrase | Type: enzyme | Action: nan
127,acetazolamide,carbonic anhydrase,enzyme,,Drug: acetazolamide | Target: carbonic anhydrase | Type: enzyme | Action: nan
128,acetazolamide,carbonic anhydrase v,enzyme,,Drug: acetazolamide | Target: carbonic anhydrase v | Type: enzyme | Action: nan
129,acetazolamide,carbonic anhydrase,enzyme,,Drug: acetazolamide | Target: carbonic anhydrase | Type: enzyme | Action: nan
130,acetazolamide,carbonic anhydrase 3,enzyme,,Drug: acetazolamide | Target: carbonic anhydrase 3 | Type: enzyme | Action: nan
131,acetazolamide,carbonic anhydrase,enzyme,,Drug: acetazolamide | Target: carbonic anhydrase | Type: enzyme | Action: nan
132,acetazolamide,carbonic anhydrase,enzyme,,Drug: acetazolamide | Target: carbonic anhydrase | Type: enzyme | Action: nan
133,acetazolamide,"carbonic anhydrase, alpha family",unclassified,,"Drug: acetazolamide | Target: carbonic anhydrase, alpha family | Type: unclassified | Action: nan"
134,acetazolamide,carbonate dehydratase,enzyme,,Drug: acetazolamide | Target: carbonate dehydratase | Type: enzyme | Action: nan
135,acetazolamide,carbonic anhydrase-related protein 11,enzyme,,Drug: acetazolamide | Target: carbonic anhydrase-related protein 11 | Type: enzyme | Action: nan
136,acetohexamide,"sulfonylurea receptor 1, kir6.2",ion channel,BLOCKER,"Drug: acetohexamide | Target: sulfonylurea receptor 1, kir6.2 | Type: ion channel | Action: BLOCKER"
137,acetohydroxamic acid,carbonic anhydrase 2,enzyme,,Drug: acetohydroxamic acid | Target: carbonic anhydrase 2 | Type: enzyme | Action: nan
138,acetohydroxamic acid,bacterial urease,enzyme,INHIBITOR,Drug: acetohydroxamic acid | Target: bacterial urease | Type: enzyme | Action: INHIBITOR
139,acetohydroxamic acid,urease,enzyme,,Drug: acetohydroxamic acid | Target: urease | Type: enzyme | Action: nan
140,acetohydroxamic acid,urease subunit beta,enzyme,,Drug: acetohydroxamic acid | Target: urease subunit beta | Type: enzyme | Action: nan
141,acetophenazine,d(2) dopamine receptor,gpcr,ANTAGONIST,Drug: acetophenazine | Target: d(2) dopamine receptor | Type: gpcr | Action: ANTAGONIST
142,acetophenazine,androgen receptor,transcription factor,,Drug: acetophenazine | Target: androgen receptor | Type: transcription factor | Action: nan
143,racecadotril,angiotensin-converting enzyme,enzyme,,Drug: racecadotril | Target: angiotensin-converting enzyme | Type: enzyme | Action: nan
144,racecadotril,neprilysin,enzyme,INHIBITOR,Drug: racecadotril | Target: neprilysin | Type: enzyme | Action: INHIBITOR
145,racecadotril,angiotensin-converting enzyme,enzyme,,Drug: racecadotril | Target: angiotensin-converting enzyme | Type: enzyme | Action: nan
146,racecadotril,neprilysin,enzyme,,Drug: racecadotril | Target: neprilysin | Type: enzyme | Action: nan
147,racecadotril,neprilysin,enzyme,,Drug: racecadotril | Target: neprilysin | Type: enzyme | Action: nan
148,racecadotril,neprilysin,enzyme,,Drug: racecadotril | Target: neprilysin | Type: enzyme | Action: nan
149,racecadotril,endothelin-converting enzyme 1,enzyme,,Drug: racecadotril | Target: endothelin-converting enzyme 1 | Type: enzyme | Action: nan
150,racecadotril,thermolysin,enzyme,,Drug: racecadotril | Target: thermolysin | Type: enzyme | Action: nan
151,acetoxolone,liver carboxylesterase 1,enzyme,,Drug: acetoxolone | Target: liver carboxylesterase 1 | Type: enzyme | Action: nan
152,acetoxolone,estradiol 17-beta-dehydrogenase 1,enzyme,,Drug: acetoxolone | Target: estradiol 17-beta-dehydrogenase 1 | Type: enzyme | Action: nan
153,acetoxolone,estradiol 17-beta-dehydrogenase 2,enzyme,,Drug: acetoxolone | Target: estradiol 17-beta-dehydrogenase 2 | Type: enzyme | Action: nan
154,acetoxolone,corticosteroid 11-beta-dehydrogenase isozyme 2,enzyme,,Drug: acetoxolone | Target: corticosteroid 11-beta-dehydrogenase isozyme 2 | Type: enzyme | Action: nan
155,acetoxolone,corticosteroid 11-beta-dehydrogenase isozyme 1,enzyme,,Drug: acetoxolone | Target: corticosteroid 11-beta-dehydrogenase isozyme 1 | Type: enzyme | Action: nan
156,acetoxolone,cocaine esterase,enzyme,,Drug: acetoxolone | Target: cocaine esterase | Type: enzyme | Action: nan
157,acetylcholine,muscarinic acetylcholine receptor m1,gpcr,,Drug: acetylcholine | Target: muscarinic acetylcholine receptor m1 | Type: gpcr | Action: nan
158,acetylcholine,muscarinic acetylcholine receptor m2,gpcr,AGONIST,Drug: acetylcholine | Target: muscarinic acetylcholine receptor m2 | Type: gpcr | Action: AGONIST
159,acetylcholine,muscarinic acetylcholine receptor m3,gpcr,AGONIST,Drug: acetylcholine | Target: muscarinic acetylcholine receptor m3 | Type: gpcr | Action: AGONIST
160,acetylcholine,muscarinic acetylcholine receptor m4,gpcr,AGONIST,Drug: acetylcholine | Target: muscarinic acetylcholine receptor m4 | Type: gpcr | Action: AGONIST
161,acetylcholine,muscarinic acetylcholine receptor m5,gpcr,,Drug: acetylcholine | Target: muscarinic acetylcholine receptor m5 | Type: gpcr | Action: nan
162,acetylcholine,neuronal acetylcholine receptor subunit alpha-7,ion channel,,Drug: acetylcholine | Target: neuronal acetylcholine receptor subunit alpha-7 | Type: ion channel | Action: nan
163,acetylcholine,acetylcholine-binding protein,unclassified,,Drug: acetylcholine | Target: acetylcholine-binding protein | Type: unclassified | Action: nan
164,acetylcholine,acetylcholine receptor subunit delta,ion channel,,Drug: acetylcholine | Target: acetylcholine receptor subunit delta | Type: ion channel | Action: nan
165,acetylcholine,neuronal acetylcholine receptor subunit alpha-7,ion channel,,Drug: acetylcholine | Target: neuronal acetylcholine receptor subunit alpha-7 | Type: ion channel | Action: nan
166,acetylcholine,neuronal acetylcholine receptor; alpha2/beta2,ion channel,,Drug: acetylcholine | Target: neuronal acetylcholine receptor; alpha2/beta2 | Type: ion channel | Action: nan
167,acetylcholine,neuronal acetylcholine receptor; alpha3/beta2,ion channel,,Drug: acetylcholine | Target: neuronal acetylcholine receptor; alpha3/beta2 | Type: ion channel | Action: nan
168,acetylcholine,neuronal acetylcholine receptor; alpha3/beta4,ion channel,,Drug: acetylcholine | Target: neuronal acetylcholine receptor; alpha3/beta4 | Type: ion channel | Action: nan
169,acetylcholine,neuronal acetylcholine receptor; alpha4/beta2,ion channel,,Drug: acetylcholine | Target: neuronal acetylcholine receptor; alpha4/beta2 | Type: ion channel | Action: nan
170,acetylcholine,neuronal acetylcholine receptor; alpha4/beta4,ion channel,,Drug: acetylcholine | Target: neuronal acetylcholine receptor; alpha4/beta4 | Type: ion channel | Action: nan
171,acetylcholine,neuronal acetylcholine receptor; alpha4/beta2,ion channel,,Drug: acetylcholine | Target: neuronal acetylcholine receptor; alpha4/beta2 | Type: ion channel | Action: nan
172,acetylcholine,muscarinic acetylcholine receptor,gpcr,,Drug: acetylcholine | Target: muscarinic acetylcholine receptor | Type: gpcr | Action: nan
173,acetylcholine,nicotinic acetylcholine receptor alpha8 subunit,ion channel,,Drug: acetylcholine | Target: nicotinic acetylcholine receptor alpha8 subunit | Type: ion channel | Action: nan
174,acetylcysteine,cytochrome c,enzyme,,Drug: acetylcysteine | Target: cytochrome c | Type: enzyme | Action: nan
175,acetylcysteine,vascular endothelial growth factor a,secreted,,Drug: acetylcysteine | Target: vascular endothelial growth factor a | Type: secreted | Action: nan
176,acetylcysteine,"superoxide dismutase [mn], mitochondrial",enzyme,,"Drug: acetylcysteine | Target: superoxide dismutase [mn], mitochondrial | Type: enzyme | Action: nan"
177,acetylcysteine,glutathione synthetase,enzyme,MODULATOR,Drug: acetylcysteine | Target: glutathione synthetase | Type: enzyme | Action: MODULATOR
178,acetylcysteine,cystine/glutamate transporter,transporter,MODULATOR,Drug: acetylcysteine | Target: cystine/glutamate transporter | Type: transporter | Action: MODULATOR
179,acetyldigitoxin,sodium/potassium-transporting atpase,transporter,INHIBITOR,Drug: acetyldigitoxin | Target: sodium/potassium-transporting atpase | Type: transporter | Action: INHIBITOR
180,acepromazine,d(1a) dopamine receptor,gpcr,ANTAGONIST,Drug: acepromazine | Target: d(1a) dopamine receptor | Type: gpcr | Action: ANTAGONIST
181,acepromazine,d(2) dopamine receptor,gpcr,ANTAGONIST,Drug: acepromazine | Target: d(2) dopamine receptor | Type: gpcr | Action: ANTAGONIST
182,acepromazine,major prion protein,surface antigen,,Drug: acepromazine | Target: major prion protein | Type: surface antigen | Action: nan
183,acetylsalicylic acid,prostaglandin g/h synthase 2,enzyme,INHIBITOR,Drug: acetylsalicylic acid | Target: prostaglandin g/h synthase 2 | Type: enzyme | Action: INHIBITOR
